employee_id,name,age,department,position,hire_date,leave_date,salary,got_raise,raise_count,months_since_last_raise,has_training,trainings_count,months_since_last_training,performance,enps,attrition
1,Громова Дарья Антоновна,39,Продажи,Менеджер продаж,2024-01-30,2024-12-31,534.0,0,0,11,0,0,11,2.7,-19,1
2,Ершова Агафья Алексеевна,36,Производство,Оператор,2022-08-12,2024-05-21,461.0,0,0,28,1,1,22,2.0,53,1
3,Борисов Филимон Зиновьевич,39,Производство,Начальник цеха,2023-08-27,2024-11-03,547.0,0,0,16,0,0,16,3.3,-11,1
4,Феликс Харлампович Силин,44,Производство,Начальник цеха,2022-04-10,,557.0,1,2,16,0,0,32,2.8,63,0
5,Носков Евгений Иосифович,40,Логистика,Менеджер логистики,2022-03-22,,483.0,1,2,23,1,4,6,3.4,-1,0
6,Котова Василиса Андреевна,36,Производство,Оператор,2024-05-25,,563.0,0,0,7,0,0,7,3.3,28,0
7,Воробьев Агафон Аверьянович,44,Финансы,Экономист,2023-01-15,,568.0,1,1,22,1,2,20,4.5,38,0
8,Зоя Семеновна Журавлева,39,Производство,Начальник цеха,2023-01-24,,597.0,0,0,23,1,2,10,4.0,77,0
9,Моисеев Гедеон Харитонович,24,Финансы,Экономист,2024-04-21,,818.0,0,0,8,1,1,1,4.0,82,0
10,Ковалев Евсей Авдеевич,51,Производство,Начальник цеха,2023-02-10,2024-11-12,360.0,0,0,22,0,0,22,5.0,65,1
11,Пелагея Рубеновна Блохина,47,Производство,Начальник цеха,2023-08-21,,421.0,0,0,16,1,2,15,3.7,-16,0
12,Конон Иосипович Фокин,26,Логистика,Менеджер логистики,2023-09-03,,374.0,1,1,8,0,0,15,3.6,57,0
13,Милица Владимировна Нестерова,43,Производство,Мастер смены,2024-02-27,2024-12-31,351.0,0,0,10,0,0,10,1.6,82,1
14,Афанасьева Майя Андреевна,28,IT,Аналитик,2023-06-04,,1127.0,1,1,16,1,2,6,4.1,-11,0
15,Лора Игоревна Быкова,42,Финансы,Бухгалтер,2023-09-06,,685.0,0,0,15,1,1,9,3.5,42,0
16,Прокофий Артурович Коновалов,26,Производство,Начальник цеха,2024-04-15,,594.0,0,0,8,0,0,8,4.1,54,0
17,Ипатий Игоревич Уваров,55,IT,Аналитик,2022-09-29,,1129.0,1,1,6,1,1,22,2.5,53,0
18,Кошелева Елена Евгеньевна,37,Производство,Начальник цеха,2022-05-04,,383.0,1,1,1,1,1,18,5.0,-2,0
19,Владимиров Карп Ермолаевич,26,Производство,Оператор,2022-08-23,,574.0,1,1,2,1,1,8,3.2,-14,0
20,Костин Геннадий Фокич,52,IT,IT-менеджер,2022-09-06,2024-02-19,1092.0,0,0,27,0,0,27,3.0,-18,1
